0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
475,475,475,475,475,75,0,0,0,475,0,0,0,0,0,0
449,449,449,449,449,89,0,0,0,449,0,0,0,0,0,0
304,304,304,304,304,106,0,0,0,304,0,0,0,0,0,0
239,239,239,239,239,99,0,0,0,239,0,0,0,0,0,0
188,188,188,188,188,160,0,0,0,188,0,0,0,0,0,0
173,173,173,173,173,151,0,0,0,173,0,0,0,0,0,0
124,124,124,124,124,159,0,0,0,124,0,0,0,0,0,0
102,102,102,102,102,166,0,0,0,102,0,0,0,0,0,0
127,127,127,127,127,176,0,0,0,127,0,0,0,0,0,0
87,87,87,87,87,134,0,0,0,87,21,0,0,0,0,0
68,68,68,68,68,158,0,0,0,68,0,0,0,0,0,0
96,96,96,96,96,113,0,0,0,96,0,0,0,0,0,0
71,71,71,71,71,119,0,0,0,71,0,0,0,0,0,0
47,47,47,47,47,141,0,0,0,47,0,0,0,0,0,0
51,51,51,51,51,133,0,0,0,51,0,0,0,0,0,0
26,26,26,26,26,104,0,0,0,26,0,0,0,0,0,0
34,34,34,34,34,93,0,0,0,34,0,0,0,0,0,0
25,25,25,25,25,68,0,0,0,25,0,0,0,0,0,0
38,38,38,38,38,63,0,0,0,38,0,0,0,0,0,0
33,33,33,33,33,50,0,0,0,33,0,0,0,0,0,0
36,36,36,36,36,41,0,0,0,36,0,0,0,0,0,0
22,22,22,22,22,24,0,0,0,22,0,0,0,0,0,0
28,28,28,28,28,27,0,0,0,28,0,0,0,0,0,0
609,609,609,609,609,609,0,0,0,609,0,0,0,0,0,0
692,692,692,692,692,692,0,0,0,692,0,0,0,0,0,0
675,675,675,675,675,675,0,0,0,675,0,0,0,0,0,0
732,732,732,732,732,732,0,0,0,732,0,0,0,0,0,0
732,732,732,732,732,732,0,0,0,732,0,0,0,0,0,0
757,757,757,757,757,757,0,0,0,757,0,0,0,0,0,0
823,823,823,823,823,823,0,0,0,823,0,0,0,0,0,0
824,824,824,824,824,824,0,0,0,824,0,0,0,0,0,0
894,894,894,894,894,894,0,0,0,894,0,0,0,0,0,0
857,857,857,857,857,857,0,0,0,857,0,0,0,0,0,0
753,753,753,753,753,753,0,0,0,753,0,0,0,0,0,0
682,682,682,682,682,682,0,0,0,682,0,0,0,0,0,0
717,717,717,717,717,717,0,0,0,717,0,0,0,0,0,0
628,628,628,628,628,628,0,0,0,628,0,0,0,0,0,0
597,597,597,597,597,597,0,0,0,597,0,0,0,0,0,0
542,542,542,542,542,542,0,0,0,542,0,0,0,0,0,0
486,486,486,486,486,486,0,0,0,486,0,0,0,0,0,0
465,465,465,465,465,465,0,0,0,465,0,0,0,0,0,0
463,463,463,463,463,463,0,0,0,463,0,0,0,0,0,0
481,481,481,481,481,481,0,0,0,481,0,0,0,0,0,0
445,445,445,445,445,445,0,0,0,445,0,0,0,0,0,0
555,555,555,555,555,555,0,0,0,555,0,0,0,0,0,0
596,596,596,596,596,596,0,0,0,596,0,0,0,0,0,0
621,621,621,621,621,621,0,0,0,621,0,0,0,0,0,0
662,662,662,662,662,662,0,0,0,662,0,0,0,0,0,0
662,662,662,662,662,662,0,0,0,662,0,0,0,0,0,0
536,536,536,536,536,536,0,0,0,536,0,0,0,0,0,0
499,499,499,499,499,499,0,0,0,499,0,0,0,0,0,0
484,484,484,484,484,484,0,0,0,484,0,0,0,0,0,0
400,400,400,400,400,400,0,0,0,400,0,0,0,0,0,0
422,422,422,422,422,422,0,0,0,422,0,24,0,0,0,0
354,354,354,354,354,354,0,0,0,354,0,0,0,0,0,0
252,252,252,252,252,252,0,0,0,252,0,20,0,0,0,0
244,244,244,244,244,244,0,0,0,244,0,20,0,0,0,0
232,232,232,232,232,232,0,0,0,232,0,27,0,0,0,0
185,185,185,185,185,185,0,0,0,185,0,31,0,0,0,0
254,254,254,254,254,254,0,0,0,254,0,29,0,0,0,0
187,187,187,187,187,187,0,0,0,187,0,26,0,0,0,0
161,161,161,161,161,161,0,0,0,161,0,36,0,0,0,0
190,190,190,190,190,190,0,0,0,190,0,29,0,0,0,0
144,144,144,144,144,144,0,0,0,144,0,23,0,0,0,0
110,110,110,110,110,110,0,0,0,110,0,32,0,0,0,0
98,98,98,98,98,98,0,0,0,98,0,21,0,0,0,0
89,89,89,89,89,89,0,0,0,89,0,46,0,0,0,0
120,120,120,120,120,120,0,0,0,120,0,42,0,0,0,0
161,161,161,161,161,161,0,0,0,161,0,64,0,0,0,0
166,166,166,166,166,166,0,0,0,166,0,97,0,0,0,0
132,132,132,132,132,132,0,0,0,132,0,169,0,0,0,0
139,139,139,139,139,139,0,0,0,139,0,136,0,0,0,0
144,144,144,144,144,144,0,0,0,144,0,188,0,0,0,0
148,148,148,148,148,148,0,0,0,148,0,185,0,0,0,0
99,99,99,99,99,99,0,0,0,99,0,216,0,0,0,0
118,118,118,118,118,118,0,0,0,118,0,245,0,0,0,0
85,85,85,85,85,85,0,0,0,85,0,292,0,0,0,0
66,66,66,66,66,66,0,0,0,66,0,254,0,0,0,0
42,42,42,42,42,42,0,0,0,42,0,274,0,0,0,0
32,32,32,32,32,32,0,0,0,32,0,298,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,178,0,0,0,0
0,0,0,0,0,0,0,0,0,0,179,179,0,0,0,0
