0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
476,476,476,378,378,476,28,476,378,378,378,532,378,476,80,476,378,98,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,507,507,344,344,507,77,507,344,344,344,530,344,507,104,507,344,113,77,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,440,440,340,340,440,31,440,340,340,340,491,340,440,110,440,340,114,31,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,219,219,276,276,219,44,219,276,276,276,539,276,219,120,219,276,145,44,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,448,448,259,259,448,47,448,259,259,259,615,259,448,95,448,259,108,47,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,251,251,195,195,251,64,251,195,195,195,681,195,251,101,251,195,117,64,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,415,415,196,196,415,415,415,196,196,196,691,196,415,120,415,196,118,415,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,437,437,163,163,437,437,437,163,163,163,724,163,437,129,437,163,169,437,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,248,248,150,150,248,248,248,150,150,150,734,150,248,123,248,150,250,248,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,339,339,351,351,339,339,339,351,351,351,792,351,339,133,339,351,351,339,378,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
