0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,78,58,58,83,78,83,83,114,83,114,114,92,0,0,0,0
0,104,135,135,87,104,87,87,91,87,91,91,87,0,0,0,0
0,119,24,24,97,119,97,97,98,97,98,98,92,0,0,0,0
0,84,22,22,51,84,51,51,69,51,69,69,122,0,0,0,0
0,60,56,56,46,60,46,46,48,46,48,48,148,34,0,0,0
0,79,79,79,62,79,62,62,64,62,64,64,133,27,0,0,0
0,91,91,91,84,91,84,84,73,84,73,73,146,91,0,0,0
0,68,68,68,47,68,47,47,37,47,37,37,121,68,0,0,0
0,46,46,46,62,46,62,62,56,62,56,56,109,46,0,0,0
0,62,62,62,45,62,45,45,73,45,73,73,74,62,0,0,0
0,66,66,66,30,66,30,30,82,30,82,82,109,66,0,0,0
0,30,30,30,27,30,27,27,61,27,61,61,75,30,0,0,0
0,36,36,36,28,36,28,28,51,28,51,51,56,36,0,0,0
0,29,29,29,27,29,27,27,37,27,37,37,57,29,0,0,0
0,36,36,36,240,36,240,240,51,240,51,51,58,36,0,0,0
0,253,253,253,253,253,253,253,35,253,35,35,48,253,0,0,0
0,192,192,192,192,192,192,192,40,192,40,40,66,192,0,0,0
0,270,270,270,270,270,270,270,102,270,102,102,76,270,0,0,0
0,223,223,223,223,223,223,223,115,223,115,115,131,223,20,0,0
0,133,133,133,133,133,133,133,127,133,127,127,153,133,27,0,0
0,99,99,99,99,99,99,99,108,99,108,108,169,99,24,0,0
0,67,67,67,67,67,67,67,122,67,122,122,160,67,22,0,0
0,98,98,98,98,98,98,98,101,98,101,101,138,98,0,0,0
0,83,83,83,83,83,83,83,129,83,129,129,142,83,0,0,0
0,60,60,60,60,60,60,60,130,60,130,130,100,60,0,0,0
0,30,30,30,30,30,30,30,164,30,164,164,125,30,22,0,0
0,43,43,43,43,43,43,43,69,43,69,69,123,43,69,0,0
0,54,54,54,54,54,54,54,44,54,44,44,141,54,44,0,0
0,49,49,49,49,49,49,49,65,49,65,65,189,49,65,0,0
0,40,40,40,40,40,40,40,34,40,34,34,76,40,34,58,0
0,23,23,23,23,23,23,23,34,23,34,34,156,23,34,66,0
0,25,25,25,25,25,25,25,38,25,38,38,120,25,38,128,0
0,32,32,32,32,32,32,32,25,32,25,25,121,32,25,111,0
0,45,45,45,45,45,45,45,27,45,27,27,152,45,27,121,0
0,20,20,20,20,20,20,20,21,20,21,21,182,20,21,116,0
0,215,215,215,215,215,215,215,25,215,25,25,215,215,25,118,0
0,155,155,155,155,155,155,155,34,155,34,34,155,155,34,175,31
0,244,244,244,244,244,244,244,33,244,33,33,244,244,33,160,28
0,218,218,218,218,218,218,218,29,218,29,29,218,218,29,186,40
0,232,232,232,232,232,232,232,32,232,32,32,232,232,32,143,38
0,240,240,240,240,240,240,240,37,240,37,37,240,240,37,188,0
0,255,255,255,255,255,255,255,26,255,26,26,255,255,26,229,24
0,197,197,197,197,197,197,197,26,197,26,26,197,197,26,270,27
0,185,185,185,185,185,185,185,29,185,29,29,185,185,29,261,22
0,214,214,214,214,214,214,214,151,214,151,151,214,214,151,235,33
0,216,216,216,216,216,216,216,139,216,139,139,216,216,139,269,0
0,233,233,233,233,233,233,233,115,233,115,115,233,233,115,206,26
0,280,280,280,280,280,280,280,141,280,141,141,280,280,141,252,22
0,309,309,309,309,309,309,309,110,309,110,110,309,309,110,176,0
0,274,274,274,274,274,274,274,105,274,105,105,274,274,105,157,20
