,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
450,"[150.98572286757988, -36.87471724657535]",14.886,0.315,203.0,16.0,843.838,309.372,Jump_4,0.40893,08:00:00,No_Radar,No_Radar,,,,,,,,2021-10-14 08:00:00
451,"[150.9895951608696, -36.88668855217392]",15.325,0.312,206.0,24.0,866.11,458.244,Jump_4,0.45313,08:02:00,No_Radar,No_Radar,,,,,,,,2021-10-14 08:02:00
466,"[150.97552752884616, -36.932294009615376]",11.15,0.266,88.0,16.0,341.404,307.878,Jump_5,2.70443,08:32:00,No_Radar,No_Radar,,,,,,,,2021-10-14 08:32:00
467,"[151.0191493, -36.948421833333335]",9.921,0.291,82.0,8.0,380.45,145.75,Jump_5,-0.47944,08:34:00,No_Radar,No_Radar,,,,,,,,2021-10-14 08:34:00
468,"[151.01288753763436, -36.956922483870976]",12.625,0.186,92.0,1.0,371.356,9.609,Jump_5,0.10062,08:36:00,No_Radar,No_Radar,,,,,,,,2021-10-14 08:36:00
469,"[151.02460268067225, -37.06605105042015]",24.933,0.061,106.0,13.0,373.923,122.345,Jump_5,0.88326,08:38:00,No_Radar,No_Radar,,,,,,,,2021-10-14 08:38:00
490,"[150.63795169135804, -37.0291289506173]",29.193,0.03,51.0,30.0,286.484,644.677,Jump_6,2.75263,09:20:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:20:00
491,"[150.57953999999998, -37.0302209125]",23.945,0.044,54.0,26.0,304.303,492.317,Jump_6,-0.03182,09:22:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:22:00
492,"[150.58158035211267, -37.0126537887324]",28.156,0.029,55.0,16.0,339.142,395.794,Jump_6,-0.29627,09:24:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:24:00
493,"[150.49228721428577, -36.96229296428572]",21.451,0.039,40.0,16.0,274.275,257.741,Jump_6,-0.5306,09:26:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:26:00
501,"[150.56698657923502, -37.07325237158472]",14.631,0.272,128.0,55.0,783.131,933.769,Jump_7,2.74837,09:42:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:42:00
502,"[150.53520286206907, -37.055210572413785]",11.798,0.332,117.0,28.0,587.35,605.865,Jump_7,-0.97522,09:44:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:44:00
503,"[150.55504028365394, -37.06971873076924]",12.851,0.401,175.0,33.0,814.719,506.99,Jump_7,1.41244,09:46:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:46:00
504,"[150.58911869047614, -37.11644432142859]",16.848,0.188,127.0,41.0,683.125,759.689,Jump_7,-0.7617,09:48:00,No_Radar,No_Radar,,,,,,,,2021-10-14 09:48:00
516,"[150.8270377244898, -37.347788265306136]",23.592,0.056,67.0,31.0,379.779,481.608,Jump_8,2.35586,10:12:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:12:00
517,"[150.79459394067797, -37.39736066101694]",22.122,0.077,76.0,42.0,412.142,764.571,Jump_8,1.03863,10:14:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:14:00
518,"[150.86786770192313, -37.470740461538455]",22.849,0.063,70.0,34.0,441.917,594.905,Jump_8,-0.66758,10:16:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:16:00
519,"[150.83561313333334, -37.437282775]",26.508,0.054,94.0,26.0,515.37,365.852,Jump_8,0.71611,10:18:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:18:00
529,"[150.76325088059698, -37.104424880597016]",54.607,0.014,99.0,35.0,544.11,648.151,Jump_9,3.70341,10:38:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:38:00
530,"[150.86501929059835, -37.46563352991454]",35.254,0.03,68.0,49.0,415.693,786.332,Jump_9,-0.49462,10:40:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:40:00
531,"[150.97812514062502, -37.73378239062502]",13.184,0.117,37.0,27.0,264.611,454.97,Jump_9,-1.42362,10:42:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:42:00
532,"[150.81851073099415, -37.35476245614034]",54.169,0.019,136.0,35.0,730.32,528.94,Jump_9,2.29908,10:44:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:44:00
533,"[150.90209325000004, -37.57739866666666]",32.469,0.029,62.0,34.0,381.514,505.049,Jump_9,-1.1261,10:46:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:46:00
534,"[150.90901780232554, -37.6540204883721]",33.442,0.024,70.0,16.0,549.088,197.014,Jump_9,-0.12779,10:48:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:48:00
535,"[151.0076599268293, -37.765866317073176]",10.402,0.121,27.0,14.0,134.726,174.711,Jump_9,-0.63942,10:50:00,No_Radar,No_Radar,,,,,,,,2021-10-14 10:50:00
554,"[151.09372989473684, -38.25142106315789]",31.736,0.03,74.0,21.0,474.045,372.256,Jump_10,5.25107,11:28:00,No_Radar,No_Radar,,,,,,,,2021-10-14 11:28:00
555,"[151.1767641698113, -38.05988303773586]",19.235,0.046,41.0,12.0,330.959,205.093,Jump_10,-1.45548,11:30:00,No_Radar,No_Radar,,,,,,,,2021-10-14 11:30:00
556,"[150.9498662285714, -38.62233534285714]",8.52,0.153,25.0,10.0,170.546,201.55,Jump_10,-0.48428,11:32:00,No_Radar,No_Radar,,,,,,,,2021-10-14 11:32:00
557,"[150.9510400833333, -38.60425477777777]",8.413,0.162,31.0,5.0,163.462,57.162,Jump_10,0.02655,11:34:00,No_Radar,No_Radar,,,,,,,,2021-10-14 11:34:00
578,"[153.39144185389617, -36.15846079870126]",51.758,0.037,271.0,37.0,1247.518,807.873,Jump_11,7.57716,21:46:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:46:00
579,"[153.39863803494615, -36.179353379032264]",51.952,0.044,313.0,59.0,1448.732,1014.263,Jump_11,0.51112,21:48:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:48:00
580,"[153.22282856722686, -35.98121896638656]",33.486,0.068,219.0,19.0,1086.189,265.636,Jump_11,-1.11178,21:50:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:50:00
581,"[153.32713089393937, -36.11124624545454]",48.879,0.044,300.0,30.0,1314.92,522.398,Jump_11,0.60528,21:52:00,No_Radar,No_Radar,,,,,,,,2021-10-14 21:52:00
595,"[153.57371880781747, -36.113569377850155]",51.632,0.037,290.0,17.0,1514.255,224.815,Jump_12,2.40907,22:20:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:20:00
596,"[153.76530975373143, -36.373169358208955]",34.722,0.071,247.0,21.0,1275.017,413.338,Jump_12,-0.69674,22:22:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:22:00
597,"[153.67831320303023, -36.228898993939396]",47.995,0.046,292.0,38.0,1472.151,704.792,Jump_12,1.02715,22:24:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:24:00
598,"[153.58861800680268, -36.16889296938777]",50.083,0.037,248.0,46.0,1284.096,808.602,Jump_12,-0.56648,22:26:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:26:00
603,"[153.69575995517243, -36.33580788275862]",55.312,0.03,236.0,54.0,1180.237,804.137,Jump_13,3.61297,22:36:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:36:00
604,"[153.94535135519118, -36.55677050819671]",28.306,0.073,151.0,32.0,860.567,561.907,Jump_13,-1.76224,22:38:00,No_Radar,No_Radar,,,,,,,,2021-10-14 22:38:00
